Key,English,Japanese,SChinese,TChinese
SoothSayerMaxCountSetting,Number of times you can divine,占える回数,占卜师最大占卜次数,占卜師最大占卜次數
SoothSayerGetChat,The Role of {0} is {1}.,{0}の役職は{1}です。,{0}的职业是{1},{0}的職業是{1}
SoothSayerFirstWhiteOption,Can tell one person at the first meeting who is not an outsider.,最初の会議で一人だけ人外でない人がわかる,占卜师在第一次会议阶段可以得知一名不是敌对阵营的玩家,占卜師在第一次會議可得知一名非敵對陣營玩家的身分
SoothSayerCrewmateText,is crewmate,はクルーメイトです,是船员,是船員
SoothSayerNotCrewmateText,is not crewmate,はクルーメイトではありません,不是船员,非船員
JesterName,Jester,てるてる,小丑,小丑
JesterTitle1,Vote to get banned!,投票で追放されよう,想办法被投出去,想盡辦法讓自己被投出去！
JesterDescription,If they are expelled at the meeting they win alone.,会議で追放されると、単独勝利します。,小丑在会议中被投出则小丑单独获胜。,小丑在會議中被投出則小丑單獨獲勝。
JesterIsVentSetting,I can put it in a vent.,ベントに入れる,可以进入管道,可以進入通風管道
JesterIsSabotageSetting,You can sabotage it.,サボタージュができる,小丑可以破坏,小丑可以破壞
JesterIsWinClearTaskSetting,Jester was Clear Task Win,タスクを完了しないと勝利できない,不完成任务不能获胜,不完成任務不能獲勝
JesterWinText,Jester{0}Win!,てるてる{0}勝利,小丑竟是我自己,現在看看誰才是真正的小丑
LighterName,Lighter,ライター,执灯人,火炬
LighterTitle1,Let's brighten our vision,視界を明るくしよう,擦亮你的眼睛,照亮這個世界
LighterDescription,The active ability [Light!]. changes to a set field of vision for the duration of the effect. \nAcquire more information with its wide field of view and sometimes see the current criminal outside of the person who is caught off guard.,アクティブ能力[ライト!]を使用する事で、効果時間中設定した視界に変更します。\nその広い視野で多くの情報を取得し、時には油断した人外の現行犯を視認しましょう。,执灯人可以在行动阶段让自己的视野变化一段时间。\n执灯人可以利用较大的视野获取情报，有时也可以把在视野死角作案的凶手抓个现行。,主動技能「路摸思！」可以在技能持續時間内改變視野，\n利用廣闊的視野獲得更多資訊，有時還可以看到沒有防備的內鬼。
LigtherCooldownSetting,Writer Cooldown,ライターのクールダウン,执灯人技能冷却,火炬技能冷卻時間
LigtherDurationSetting,Lighter Duration,ライターの継続時間,执灯人技能持续时间,火炬技能持續時間
LighterUpVisionSetting,View in light,ライト中の視界,执灯人技能持续时的视野,火炬技能持續時的視野
LighterButtonName,Light!,ライト!,点灯,路摸思！
EvilLighterName,Evil Lighter,イビル ライター,邪恶的执灯人,邪惡的火炬
EvilLighterTitle1,Darken Vision,視界を暗くしよう,缩减他人视野,縮減他人視野
EvilLighterTitle2,Create a blackout sabotage that can further reduce your vision!,視界をさらに狭くできる停電のサボタージュを発生させよう,用照明破坏制造更恐怖的黑暗,利用停電製造更恐怖的黑暗！
EvilLighterDescription,Use special power outages to reduce the amount of information the crews have and be active in the meantime.,特殊停電を使用し村の情報量を減らして、暗躍しましょう。,邪恶的执灯人,利用特殊停電減少船員的資訊量，並在此期間活躍。
EvilLigtherCooldownSetting,Evil Lighter Cooldown,イビルライターのクールダウン,邪恶的执灯人技能冷却,邪惡的火炬技能冷卻時間
EvilLigtherDurationSetting,Duration of Evil Writer,イビルライターの継続時間,邪恶的执灯人技能持续时间,邪惡的火炬技能持續時間
EvilScientistName,Evil Scientist,イビルサイエンティスト,邪恶的隐身人,邪惡的隱身人
EvilScientistTitle1,Become invisible and get kills!,透明になってキルをしよう,隐身并杀死其他船员,隱身並殺死其他船員
EvilScientistTitle2,Win with the power of science!,科学の力で勝利しよう,隐身，很神奇吧,利用科學的力量勝利吧！
EvilScientistDescription,You can become invisible by using the [Hide] button. \nUse your invisibility ability to deceive and win!!,[隠れる]ボタンを使用することで透明化することができます。\n透明化能力を用いて、視認を欺き勝利しましょう!!,,你可以利用「隱藏」按鈕進行隱身。\n利用隱身能力欺騙船員獲得勝利！
EvilScientistCooldownSetting,Evil Scientist Invisibility Cooldown,イビルサイエンティストの透明クールダウン,邪恶的隐身人技能冷却,邪惡的隱身人技能冷卻時間
EvilScientistDurationSetting,Evil Scientist's Invisibility Duration,イビルサイエンティストの透明継続時間,邪恶的隐身人技能持续时间,邪惡的隱身人技能持續時間
SheriffName,Sheriff,シェリフ,警长,警長
SheriffTitle1,Kill the outsider!,人外をキルしよう,击杀敌人,殺死敵人
SheriffTitle2,Kill the outsider and lead your crewmates to victory!,人外をキルしてクルーメイトを勝利に導こう,杀死敌人带领船员获得胜利,殺死敵人帶領船員獲得勝利
SheriffDescription,This is a crewmate role that allows you to change the team (role) in which kills are possible. \nIf a crewmember of a team that cannot be killed is targeted for a kill，it is a misfire and the crewmember commits suicide (the setting allows you to kill the target even if it is a misfire). Take advantage of the \ncharacteristics to scrutinize the information and identify the outsider.,キルが可能な陣営(役職)を設定により変更できるクルーメイト役職です。\nキルが不可能な陣営のクルーを対象に取りキルした場合、誤射となり自殺します(設定により誤射時も対象を殺す事ができます)。\n特性を生かして、情報を精査し人外を特定しましょう。,警长可以击杀指定阵营的玩家。\n如果警长尝试击杀一名不允许击杀的阵营的玩家，他会以死谢罪（走火）。根据房间设置，那名被尝试击杀的玩家也可能死亡。\n利用自己的能力，分析情报，找出并杀死敌对玩家。,依據設定具有不同可擊殺的陣營。\n當擊殺不可擊殺陣營的對象時，警長將自殺。\n根據其他人的角色特性，調查情報並帶領船員獲得勝利吧
SheriffCooldownSetting,Kill Cooldown,キルクールタイム,击杀冷却,擊殺冷卻
SheriffIsKillNeutralSetting,Can kill neutrala,第三陣営をキルできる,可以击杀/招募（警察局长）独立阵营玩家,可以擊殺中立陣營玩家
SheriffIsKillLoversSetting,Can kill lovers,ラバーズをキルできる,可以击杀/招募（警察局长）恋人,可以擊殺戀人
SheriffIsKillMadRoleSetting,Can kill mad roles,マッド系をキルできる,可以击杀/招募（警察局长）叛徒系职业,可以擊殺叛徒系職業
SheriffIsKillImpostorSetting,Can kill impostors,インポスターをキルできる,可以击杀内鬼,可以擊殺內鬼
SheriffAlwaysKills,Killing a target even when it is misfiring.,誤射した時も対象を殺す,警长误杀时选择的对象也会死亡,警長誤殺時該對象也會死亡
SheriffIsKillFriendsRoleSetting,Can kill jackal friend roles,ジャッカルフレンズ系をキルできる,可以击杀狈系职业,可以擊殺狽系職業
SheriffIsKillQuarreledSetting,Can kill quarreleds,クラードをキルできる,可以击杀福音天使,可以擊殺冤家兄弟
SheriffYes,Yes,できる,是,是
SheriffNo,No,できない,否,否
CannotUse,Number of kills remaining: 0,キル残り回数:0,擊殺剩餘次數：0
SheriffMaxKillCountSetting,Maximum number of kills,最大キル数,最大可击杀/招募（警察局长）次数,最大可擊殺次數
SheriffKillButtonName,Kill,キル,击杀,擊殺
SheriffNumTextName,{0} shots remaining.,残り{0}発,还剩{0} 次,剩餘{0}次
MeetingSheriffName,Meeting Sheriff,ミーティング シェリフ,执法官,法警
MeetingSheriffTitle1,Kill an outsider in a meeting!,人外を会議でキルしよう,在会议中击杀敌人,在會議中擊殺敵人
MeetingSheriffTitle2,Kill an outsider in a meeting and lead your crewmates to victory!,人外を会議でキルしてクルーメイトを勝利に導こう,在会议中击杀敌人带领船员获得胜利,在會議中擊殺敵人帶領船員獲得勝利
MeetingSheriffTitle3,Kill an outsider in a meeting to prevent a power play,人外を会議でキルしてパワープレイを防ごう,在会议中击杀敌人以阻止敌人能力的发动,在會議中擊殺敵人以阻止敵人發動能力
MeetingSheriffTitle4,Kill an outsider in a meeting to prevent a PP,人外を会議でキルしてPPを防ごう,在会议中击杀敌人以阻止能力发动,在會議中擊殺敵人以阻止敵人發動能力
MeetingSheriffDescription,This is a crewmate role that allows you to change the team (role) in which kills are possible. \nIf a crewmember of a team that cannot be killed is targeted for a kill，it is a misfire and the crewmember commits suicide (the setting allows you to kill the target even if it is a misfire). Take advantage of the \ncharacteristics to scrutinize the information and identify the outsider. Sometimes you need a kill to overturn an imposter's victory.,キルが可能な陣営(役職)を設定により変更できるクルーメイト役職です。\nキルが不可能な陣営のクルーを対象に取りキルした場合、誤射となり自殺します(設定により誤射時も対象を殺す事ができます)。\n特性を生かして、情報を精査し人外を特定しましょう。時にはキルしてインポスターの勝利を覆しましょう。,超能警长可以远程击杀指定阵营的玩家。\n如果超能警长尝试击杀一名不允许击杀的阵营的玩家，他会以死谢罪（超能反噬）。根据房间设置，那名被尝试击杀的玩家也可能死亡。\n利用自己的能力，分析情报，找出并杀死敌对玩家。,依據設定具有不同可擊殺的陣營。\n當擊殺不可擊殺陣營的對象時，法警將自殺。\n根據其他人的角色特性，調查情報並帶領船員獲得勝利。有時需要你的擊殺來顛覆內鬼陣營的勝利。
MeetingSheriffIsKillNeutralSetting,Can Kill a Neutral,第三陣営をキルできる,执法官可以击杀独立阵营玩家,法警可以擊殺中立陣營玩家
MeetingSheriffIsKillMadRoleSetting,Can Kill a Madmate,マッド系役職をキルできる,执法官可以击杀叛徒系职业,法警可以擊殺叛徒系職業
MeetingSheriffYes,Yes,できる,是,是
MeetingSheriffNo,No,できない,否,否
MeetingSheriffMaxKillCountSetting,Maximum number of Meeting Sheriff kills,ミーティングシェリフの最大キル数,执法官最大可击杀次数,法警最大可擊殺次數
MeetingSheriffMeetingmultipleKillSetting,Can you get multiple kills in one meeting?,一会議中に複数キルできるか,执法官可以在一次会议中多次击杀,法警可以在一次會議中多次擊殺
MeetingSheriffkillChat1,{0} has sheriffkilled {1}!,{0} は {1} をシェリフキルした！,{0}被{1}出警了！,{0}被{1}在會議中被正義執行了！
MeetingSheriffkillChat2,{0} was killed，but it was a misfire! {1} killed himself in remorse!,{0} をキルしたが誤射だった! {1} は自責の念で自害した!,{0}被杀害了，但他是被冤枉的！{1}以死谢罪了！,{0}被殺害了，但他是被冤枉的！{1}以死謝罪了！
MeetingSheriffkillChat3,{0} was a misfire!,{0} は誤爆した！,{0}的枪走火了！,{0}的槍走火了！
MeetingSheriffkillChat4,{0} succeeded!,{0} は成功した！,{0}成功了！,{0}成功了
JackalName,Jackal,ジャッカル,豺狼,豺狼
JackalTitle1,Try to kill Impostors and Crewmates,インポスターとクルーメイトをキルしよう,杀死所有船员和内鬼,殺死所有船員和內鬼
JackalTitle2,Kill the other team to win!,他陣営をキルして勝利しよう,把其他人全部杀死获得胜利,殺死其他陣營的所有人獲得勝利
JackalTitle3,Let's just kill them all.,全員ぶち殺そう,杀死所有人,殺了所有人
JackalDescription,It is a neutral team that is at odds with the Imposters.  \nIt has kill ability. The player must use \nImpostors and sometimes cooperate with them，and eventually win the game by annihilating all the killable camps except his own and reducing the number of unkillable camps to less than his own. \nDuring the game，you can also add friends called Sidekicks and Jackal Friends to your team.,インポスターとも対立するキル可能な第三陣営です。\nインポスターを利用し時には協力し、最終的には自陣営以外のキル可能陣営を全滅させ、キル不可能な陣営の人数を自陣営以下にして勝利しましょう。\nゲーム中にサイドキックやジャッカルフレンズという仲間を増やす事もできます。,豺狼是与内鬼阵营对立的拥有击杀能力的独立阵营。\n豺狼需要利用或协助内鬼，豺狼阵营以外的全部拥有击杀能力的其他阵营玩家死亡，且没有击杀能力的其他阵营玩家的存活人数在豺狼阵营玩家数以下，则豺狼阵营获胜。\n在游戏中，豺狼可以通过招募跟班与狈来扩大队伍。,這是為了增加遊戲的樂趣而設計的中立陣營。\n他可以殺死所有人，但有時需和內鬼合作，最終通過消滅除自己以外的所有帶刀陣營，並將其他陣營的人數減少到少於自己的人數，來獲得勝利。\n在遊戲中，你還可以指名跟班和與狼族職業合作。
JackalCooldownSetting,Jackal's kill cool time,ジャッカルのキルクールタイム,击杀冷却,擊殺冷卻
JackalUseVentSetting,Use Vent,ベントを使える,可以使用管道,可以使用通風管道
JackalUseSaboSetting,Use Sabotage,サボタージュが使える,可以破坏,可以破壞
JackalCreateSidekickSetting,Jackal can make a Sidekick,ジャッカルがサイドキックを作れる,可以招募跟班,可以招募跟班
JackalNewJackalCreateSidekickSetting,New Jackal can make Sidekick,新ジャッカルがサイドキックを作れる,晋升的跟班也可以招募跟班,晉升的跟班也能招募跟班
JackalOn,On,オン,开启,開
JackalOff,Off,オフ,关闭,關
JackalCreateSidekickButtonName,Sidekick!,サイドキック！,招募,招募！
SidekickName,Sidekick,サイドキック,跟班,跟班
SidekickTitle1,Help Jackal,ジャッカルを助けよう,帮助豺狼获得胜利,幫助豺狼獲得勝利
SidekickDescription,A jackal's companion，appointed by the jackal. \nBetray your original camp and contribute to the victory of the jackal camp by making use of your original position.\nIf a jackal dies，you will succeed him and become the next jackal，,ジャッカルにより指名されるジャッカルの仲間です。\n元の陣営を裏切り、元々の立場を生かしてジャッカル陣営の勝利に貢献しましょう\nジャッカルが死亡した場合、後を継ぎ次のジャッカルとなります。,跟班是狈豺狼招募而转化的豺狼阵营职业。\n跟班需要背叛原本的阵营，并设法让豺狼阵营达成胜利条件。\n如果豺狼死亡，你会晋升成为下一个豺狼。,被豺狼指名而成為跟班。\n背叛原先的陣營，利用過去的身分，幫助豺狼陣營獲得勝利。\n如果豺狼死亡，你將繼承他的遺志，成為下一個豺狼。
TeleporterName,Teleporter,テレポーター,邪恶的传送师,邪惡的傳送師
TeleporterTitle1,Let's get everyone together,みんなを集めよう,把所有人传送到一起,把所有人傳送聚集在一起
TeleporterTitle2,Let's get everyone away from the corpse position.,みんなを死体位置から遠ざけよう,利用传送让他人远离尸体,利用傳送讓他人遠離屍體
TeleporterDescription,This is an impostor role that allows for collective action.,集団行動をさせるインポスター役職です。,邪恶的传送师可以把所有人聚集到一起。,讓大家聚集行動的內鬼職業。
TeleporterCooldownSetting,Teleporter Sabotage Kill Cooldown,テレポートのクールダウン,传送冷却,傳送冷卻
TeleporterTeleportTimeSetting,Time to be teleported,テレポートされるまでの時間,传送所需时间,傳送所需時間
TeleporterTeleportButton,Teleport,テレポート！,传送,傳送！
TeleporterTPTextMessage,The teleporter teleported you to {0}!,テレポーターが{0}にテレポートさせた!,传送师把你传送到{0},傳送師把你傳送到{0}！
SpiritMediumName,Medium,霊媒師,通灵师,靈媒
SpiritMediumTitle1,Divine the dead person's position,やられた人を占い役職を調べよう,对死者的灵魂通灵知晓他们的职业,向靈魂通靈以知曉他們的職業
SpiritMediumDescription,Mediums identify the role of the deceased. \nCheck the target who was hanged to determine the true information. \nAlso，by divining the target who was cut，you can guess the possible camp of the surviving kills.,吊られたりキルされたりして死亡した人を占い役職を特定しましょう。\n吊った対象を調べることで真の情報を確定しましょう。\n又、切られた対象を占う事で生存しているキル可能陣営の推測をしましょう。,通灵师可以确认被放逐的玩家的职业。\n通过被放逐玩家的职业，通灵师可以甄别场上信息。\n通灵师也可以凭借信息确定场上存活的敌对势力。,靈媒可以通靈知曉死者的職業。\n通靈知曉死者職業，\n或通靈被殺的玩家，推測擊殺者的陣營。
SpiritMediumDisplaySetting,Position visibility,陣営表示にする,通灵师可得信息为阵营而非职业,靈媒可得資訊為陣營而非職業
SpiritMediumDetailMode,Detail display,詳細表示,具体职业,具體職業
SpiritMediumEncampMode,Position Display,陣営表示,所属阵营,所屬陣營
SpiritMediumMaxCountSetting,Number of times you can divine,占える回数,通灵师最大可通灵次数,靈媒最大可通靈次數
SpiritMediumIsAutoMode,Automatic divination of the expelled,追放された人を自動で占う,自动对被放逐的玩家通灵,自動對被放逐的玩家通靈
SpeedBoosterName,Speed Booster,スピードブースター,正义的飞毛腿,正義的閃電俠
SpeedBoosterTitle1,Make your speed faster!,スピードを速くしよう,飞一样的感觉！,速度感！
SpeedBoosterTitle2,Lead your crew to victory with super speed!,スーパースピードでクルーを勝利に導こう,利用自己飞快的速度带领船员走向胜利,利用自己超快的速度帶領船員們走向勝利
SpeedBoosterDescription,This is a crewmate role that can be accelerated. \nConquer tasks at that speed! Gather as much information as you can!,加速することのできるクルーメイト役職です。\nその速度でタスクを制覇せよ! 多くの情報を取得せよ!,正义的飞毛腿可以加快自己的移动速度。\n正义的飞毛腿可以利用自己的速度更快地完成任务以及获取情报。,正義的閃電俠是一個可以加速的船員職業。\n以超快的速度完成任務！收集更多的情報！
SpeedBoosterCooldownSetting,Speed Up Cooldown,スピードアップクールダウン,正义的飞毛腿技能冷却,正義的閃電俠技能冷卻時間
SpeedBoosterDurationSetting,Duration of speed-up,スピードアップの継続時間,正义的飞毛腿技能持续时间,正義的閃電俠技能持續時間
SpeedBoosterPlusSpeedSetting,Double your speed,スピードの倍速,正义的飞毛腿技能持续时间内速度增加的倍数,正義的閃電俠技能持續期間速度增加的倍數
SpeedBoosterBoostButtonName,Speed\nBoost,スピード\nブースト,加速,加速
EvilSpeedBoosterName,Evil Speed Booster,イビルスピードブースター,邪恶的飞毛腿,邪惡的閃電俠
EvilSpeedBoosterTitle1,Make your speed faster!,スピードを速くしよう,飞一样的感觉！,速度感！
EvilSpeedBoosterTitle2,Use your super speed to lead your Impostor to victory!,スーパースピードでインポスターを勝利に導こう,利用自己飞快的速度带领内鬼走向胜利,利用自己超快的速度帶領內鬼們走向勝利
EvilSpeedBoosterTitle3,Get a kill with super speed!,スーパースピードでキルをしよう,击杀并迅速的离开案发现场,擊殺並飛速地肇事逃逸
EvilSpeedBoosterTitle4,Let's run around and kill everyone.,走りまくって皆を瞬殺しよう,利用自己飞快的速度击杀船员,利用飛快的速度擊殺遠在前方的船員
EvilSpeedBoosterDescription,This is an impostor role that allows you to accelerate. \Use the active ability [Speed Boost] and vent to create a long-range kill and create a distraction!,加速する事ができるインポスター役職です。\nアクティブ能力[スピードブースト]とベントを使用し、遠距離キルをかまして場を錯乱せよ!!,邪恶的飞毛腿可以加快自己的移动速度。\n邪恶的飞毛腿可以利用自己的高速移动制造空间信息差来混淆视听。,邪惡的閃電俠是一個可以加速的內鬼職業。\n利用主動技能「加速」，進行遠距離快速擊殺，制造混亂！
EvilSpeedBoosterCooldownSetting,Speed Up Cooldown,スピードアップクールダウン,邪恶的飞毛腿技能冷却,邪惡的閃電俠技能冷卻時間
EvilSpeedBoosterDurationSetting,Speedup duration,スピードアップの継続時間,邪恶的飞毛腿技能持续时间,邪惡的閃電俠技能持續時間
EvilSpeedBoosterPlusSpeedSetting,Double Speed,スピードの倍速,邪恶的飞毛腿技能持续时间内速度增加的倍数,邪惡的閃電俠技能持續期間速度增加的倍數
EvilSpeedBoosterIsNotSpeedBooster,If this position is selected the speed booster will not be selected.,この役職が選ばれるとスピードブースターが選ばれない,不能与正义的飞毛腿共存,不能與正義的閃電俠共存
EvilSpeedBoosterBoostButtonName,Speed\nBoost,スピード\nブースト,加速,加速
TaskerName,Tasker,タスカー,特务,特務
TaskerTitle1,Finish the task and win the Impostor!,タスクを終わらせてインポスターを勝利させよう,完成任务来让内鬼获得胜利,完成任務來讓內鬼獲得勝利
TaskerTitle2,Try to finish the task!,タスクを頑張って終わらせよう,我就是大名鼎鼎的双料高级特工，代号：穿山甲！,完美特務J，任務宣告終結
TaskerDescription,The role can bring victory to the Impostors by completing tasks. \nIt seems they still haven’t shaken off their Crewmate mentality. \nBut the truth is，you're already assimilated. \nEven if you do tasks and resist in vain，you're nothing but a member of the Impostors.，you are still only a member of the Impostor after all.,タスクを完了させる事でもインポスターに勝利をもたらすことが可能な役職です。\nクルーメイトだった頃の意識がまだ抜けていないんでしょうね。\n・・・ただお前はもう浸食されている。\nタスクをして無駄な抵抗をした所で、お前は結局インポスターの一員でしかない。,特务可以通过完成任务来让内鬼阵营获得胜利。\n特务依然保留着身为船员的行为习惯。\n但实际上，特务早已被内鬼同化。\n即便特务徒劳地坚称自己只是在做任务，他的本质也与其他内鬼无异。,特務可以通過完成任務來讓內鬼獲得勝利。\n看來你還沒有擺脫船員的意識。\n但事實上，你已經被同化了。\n即使你完成任務，抵抗也是徒勞的，你終究只是內鬼的一員。
TaskerIsKillCoolTaskNow,Kill cool time is saved during the task.,タスク中にキルクールタイムが貯まる,特务在任务进程中击杀冷却减少,特務在進行任務中擊殺冷卻減少
TaskerCanKill,Killable,キルできる,特务可击杀,特務可擊殺
TaskerWinText,Impostor Task,インポスタータスク,特务完成任务而,內鬼任務
DoorrName,Doorr,ドアー,门卫,門衛
DoorrTitle1,Let's open and close the door.,ドアを開け閉めしよう,控制飞船上门的开关,控制飛船上門的開關
DoorrTitle2,Close the door to block the impostor!,ドアを閉めてインポスターを妨害しよう,关上门来拦截内鬼,關上門來攔截內鬼
DoorrDescription,Open doors in an instant and make your movement more efficient. You can use your ability to open doors to focus on completing a task or searching for corpses. \nWhen the only way to win is to complete the task，close the door，scatter the Impostors，and sometimes stay hidden to buy time for your friends to complete the task.,ドアを一瞬で開けて、移動を効率化させましょう。ドアを能力で開けタスク遂行や死体探しに専念する事ができます。\n唯一の勝利方法がタスク完了のみになった時、ドアを閉めて、インポスターを撒き時には隠れ過ごし、仲間がタスクを完了させる時間を稼いでみましょう。,门卫可以快速开门，减轻玩家的移动负担。门卫的技能可以加快任务进度与寻找实尸体的速度。\n门卫需要一心完成任务，适时关门，给内鬼添麻烦，并在特殊情况下隐藏自己为其他船员争取时间。,快速打開門，讓你的移動更有效率。你可以利用你的能力來打開門，專注於完成任務或尋找屍體。\n唯一的勝利方法就是完成任務時，關上門，分散內鬼，有時候還要躲起來為船員們爭取時間來完成任務。
DoorrCoolTimeSetting,Door Cool Time,ドアクールタイム,门卫技能冷却,門衛技能冷卻時間
DoorrButtonText,Door Open Or Close,ドアを開け閉めする,开/关门,開/關門
EvilDoorrName,Evil Doorr,イビルドアー,守门人,守門人
EvilDoorrTitle1,Open and close doors!,ドアを開け閉めしよう,控制飞船上门的开关,控制飛船上門的開關
EvilDoorrTitle2,Try to sabotage your crewmates!,クルーメイトを妨害しよう,尝试妨碍船员,嘗試妨礙船員
EvilDoorrTitle3,Open and close the door immediately to block your crewmate!,すぐにドアを開け閉めしてクルーメイトを妨害しよう,快速操控门的开关来拦截船员,快速操控門的開關來攔截船員
EvilDoorrDescription,By using the ability，the door can be closed without affecting the sabotage cool time.\nLet's add noise to the information scrutiny by the door.\nTake advantage of the fact that it does not affect the coold time of sabotage to disguise the route and estimated time of death.,能力を用いる事により、サボタージュのクールに影響せずドアを閉める事ができます。\nドアによる情報精査にノイズを入れてみましょう。\nサボタージュクールに影響しない事を生かして、経路や死亡推定時刻を偽装してみましょう。,守门人可以无视内鬼破坏冷却关门。\n这可以使得与门有关的情报出现错乱。\n守门人可以利用不受限制的开关门能力来伪造路线与估计死亡时间。,利用你的能力，可以在不影響破壞冷卻時間的情況下關閉門。\n利用關門不影響破壞冷卻時間的優勢來偽造路線和死亡時間。
EvilDoorrCoolTimeSetting,Door Cool Time,ドアクールタイム,守门人技能冷却,守門人技能冷卻時間
ShielderName,Shielder,シールダー,卫兵,持盾者
ShielderTitle1,Prevent outsider kills.,人外のキルを防ごう,抵挡敌人的攻击,抵禦敵人的攻擊
ShielderTitle2,Shield yourself!,自分にシールドを張ろう,保护好自己,保護好自己
ShielderTitle3,Try to block a foreigner's kill!,人外のキルを妨害しよう,抵挡住来自敌人的击杀,抵禦住來自敵人的擊殺
ShielderDescription,You can put up a shield that prevents kills，like a guardian angel's protection，targeting only you.\nIf you are killed while using the shield，your opponent's kill cool time is reset.\nAlso，you can recognize the opponent's kill by the motion of breaking the shield.,守護天使の守護の様にキルを防ぐシールドを、自分のみを対象に張ることができます。\nシールド使用中にキルされた場合、相手のキルクールタイムをリセットします。\n又、シールドの破壊モーションによって相手がキルしてきた事を認識できます。,卫兵可以为自己施加类似守护天使的护盾。\n在护盾生效期间有玩家尝试击杀卫兵的场合，那次击杀无效，那个击杀冷却回到设定值。\n此外，卫兵也可以通过护盾的破碎确认击杀情况。,你可以像守護天使一樣，給自己加上一個防止被殺的護盾。\n如果你在護盾使用時被殺，對手的擊殺冷卻時間會被重置。\n另外，你可以通過護盾損壞時的動畫來識別對手的擊殺動作。
ShielderCoolTimeSetting,Shield Cool Time,シールドクールタイム,卫兵技能冷却,持盾者技能冷卻時間
ShielderDurationSetting,Shield duration,シールド継続時間,卫兵技能持续时间,持盾者技能持續時間
ShielderButtonName,Shield,シールド,防御,防禦
FreezerName,Freezer,フリーザー,冻结者,霜降使者
FreezerTitle1,Stop everyone and sabotage your crewmates!,みんなを止めてクルーメイトを妨害しよう,冻住所有人来妨碍船员,凍住所有人來妨礙船員
FreezerTitle2,Try to stop everyone and sabotage the task!,みんなを止めてタスクの妨害をしよう,冻住所有人来阻碍任务的推进,凍住所有人來阻礙任務的推進
FreezerTitle3,Let's put them all on ice.,全員を氷漬けにしよう,冻住不许走！,凍住不許走！
FreezerDescription,Stall the whole group and support your allies in activating their abilities.,全体を足止めし、味方の能力発動のサポートをしましょう。,冻结者可以让所有玩家无法移动，借此让其他内鬼恢复冷却,凍住所有人並支援內鬼使用能力。
FreezerCoolTimeSetting,Freeze Cool Time,フリーズクールタイム,冻结者技能冷却,霜降使者技能冷卻時間
FreezerDurationSetting,Freeze duration,フリーズ継続時間,冻结者技能持续时间,霜降使者技能持續時間
FreezerButtonName,Freeze,フリーズ,冻结,凍結
SpeederName,Speeder,スピーダー,缓速者,緩速者
SpeederTitle1,Slow everyone down and sabotage your crewmates!,みんなを遅くしてクルーメイトを妨害しよう,让所有人速度变慢以妨碍船员,讓所有人速度變慢以妨礙船員
SpeederTitle2,Try to slow everyone down and sabotage the task!,みんなを遅くしてタスクの妨害をしよう,让所有人速度变慢以阻碍任务的推进,讓所有人速度變慢以阻礙任務的推進
SpeederDescription,Slow down the overall speed to buy time to save up for kill cool time and allied ability cool.,全体の速度を遅くすることで、キルクールタイムや味方のアビリティクールを貯める時間を稼ぎましょう。,缓速者可以让所有玩家速度变慢，借此让其他内鬼恢复冷却,讓所有人速度變慢，讓內鬼有充分恢復擊殺冷卻時間和破壞冷卻時間。
SpeederCoolTimeSetting,Sabotage Cool Time,サボタージュクールタイム,缓速者技能冷却,緩速者技能冷卻時間
SpeederDurationTimeSetting,Sabotage duration,サボタージュ継続時間,缓速者技能持续时间,緩速者技能持續時間
SpeederButtonName,SpeedDown,スピードダウン,减速,緩速
NiceGuesserName,Guesser,ゲッサー,正义的赌怪,正義的賭怪
NiceGuesserTitle1,Let's punch out the outsider.,人外を打ち抜こう,生命就是豪赌,人生就是一場豪賭
NiceGuesserTitle2,Guess the position of the outsider,人外の役職を当てよう,在会议上猜测他人的身份,在會議上猜測他人的身份
NiceGuesserTitle3,Guess and kill the Imposter!,推察し、人外を撃ち抜け！,推测身份并击杀内鬼,推測並擊殺敵人！
NiceGuesserDescription,During the meeting，you can kill the target by guessing the target's role and then designating the target to be killed.\nIf you misfire，you commit suicide.\nCheck if the target's coming out is true，for example，"I am a crewmate.,会議中、対象の役職を推測して指定し討つ事で対象を殺せます。誤射した場合は自殺します。\n「自分はクルーメイトです」等 対象のカミングアウトが真であるか精査してみましょう。,正义的赌怪可以在会议阶段通过正确猜测一名玩家的职业来击杀那名玩家。\n若猜测错误，正义的赌怪自杀。\n正义的赌怪可以确认目标是否在对船员说谎。,在會議中猜測目標職業，當職業猜中時對象遭狙殺，反之則自殺。\n查明那些說「我是好人！」的人的身分！
GuesserOneMeetingShortSetting,Multiple hits in one meeting,1会議に複数回打てる,正义的赌怪能否在一次会议中多次猜测,正義的賭怪能否在一次會議中多次猜測
GuesserShortMaxCountSetting,Number of times you can hit,打てる回数,正义的赌怪最大可猜测次数,正義的賭怪最大可猜測次數
EvilGuesserName,Evil Guesser,イビルゲッサー,邪恶的赌怪,邪惡的賭怪
EvilGuesserTitle1,Guess the position of the camp other than Impostor.,インポスター以外の陣営の役職を当てよう,刺杀其他玩家,刺殺其他玩家
EvilGuesserTitle2,He dies from the one who named the roll.,迂闊に名乗ればあの世行き,赌博的本质就是疯狂,太過高調將會死於他人之手
