moto,0,11,13
ShielderCoolTimeSetting,Shield Cool Time,シールドクールタイム,ShielderCoolTimeSetting
ShielderDurationSetting,Shield duration,シールド継続時間,ShielderDurationSetting
ShielderButtonName,Shield,シールド,ShielderButtonName
FreezerName,Freezer,フリーザー,FreezerName
FreezerTitle1,Stop everyone and sabotage your crewmates!,みんなを止めてクルーメイトを妨害しよう,FreezerTitle1
FreezerTitle2,Try to stop everyone and sabotage the task!,みんなを止めてタスクの妨害をしよう,FreezerTitle2
FreezerTitle3,Let's put them all on ice.,全員を氷漬けにしよう,FreezerTitle3
FreezerCoolTimeSetting,Freeze Cool Time,フリーズクールタイム,FreezerCoolTimeSetting
FreezerDurationSetting,Freeze duration,フリーズ継続時間,FreezerDurationSetting
FreezerButtonName,Freeze,フリーズ,FreezerButtonName
SpeederName,Speeder,スピーダー,SpeederName
SpeederTitle1,Slow everyone down and sabotage your crewmates!,みんなを遅くしてクルーメイトを妨害しよう,SpeederTitle1
SpeederTitle2,Try to slow everyone down and sabotage the task!,みんなを遅くしてタスクの妨害をしよう,SpeederTitle2
SpeederCoolTimeSetting,Sabotage Cool Time,サボタージュクールタイム,SpeederCoolTimeSetting
SpeederDurationTimeSetting,Sabotage duration,サボタージュ継続時間,SpeederDurationTimeSetting
SpeederButtonName,SpeedDown,スピードダウン,SpeederButtonName
GuesserName,Guesser,ゲッサー,GuesserName
GuesserTitle1,Let's punch out the outsider.,人外を打ち抜こう,GuesserTitle1
GuesserTitle2,Guess the position of the outsider,人外の役職を当てよう,GuesserTitle2
GuesserOneMeetingShortSetting,Multiple hits in one meeting,1会議に複数回打てる,GuesserOneMeetingShortSetting
GuesserShortMaxCountSetting,Number of times you can hit,打てる回数,GuesserShortMaxCountSetting
EvilGuesserName,Evil Guesser,イビルゲッサー,EvilGuesserName
EvilGuesserTitle1,Guess the position of the camp other than Imposter.,インポスター以外の陣営の役職を当てよう,EvilGuesserTitle1
EvilGuesserOneMeetingShortSetting,Multiple hits in one meeting,人外の役職を当てよう,EvilGuesserOneMeetingShortSetting
EvilGuesserShortMaxCountSetting,Number of times you can hit,1会議に複数回打てる,EvilGuesserShortMaxCountSetting
VultureName,Vulture,ヴァルチャー,VultureName
VultureTitle1,Let's eat a corpse.,死体を食べよう,VultureTitle1
VultureCoolDownSetting,Corpse cooldown,死体クールダウン,VultureCoolDownSetting
VultureDeadBodyCountSetting,Victory corpse count,勝利死体数,VultureDeadBodyCountSetting
VultureShowArrowsSetting,Show arrows pointing to dead bodies,死体を指す矢印を表示する,VultureShowArrowsSetting
NiceScientistName,Nice Scientist,ナイスサイエンティスト,NiceScientistName
NiceScientistTitle1,Turn invisible and find the bodies!,透明になって死体を発見しよう,NiceScientistTitle1
NiceScientistTitle2,Use the power of science to win!,科学の力で勝利しよう,NiceScientistTitle2
NiceScientistCoolDownSetting,Cool Time,クールタイム,NiceScientistCoolDownSetting
NiceScientistDurationSetting,Duration Time,継続時間,NiceScientistDurationSetting
ScientistButtonName,Hide,隠れる,ScientistButtonName
ClergymanName,Clergyman,聖職者,ClergymanName
ClergymanTitle1,Let's sabotage the outsider.,人外の妨害をしよう,ClergymanTitle1
ClergymanTitle2,Let's obstruct the outsider's view.,人外の視界を妨害しよう,ClergymanTitle2
ClergymanCoolDownSetting,Cool Time,クールタイム,ClergymanCoolDownSetting
ClergymanDurationTimeSetting,Duration Time,継続時間,ClergymanDurationTimeSetting
ClergymanDownVisionSetting,Impostor Down Vision.,実行時の視界,ClergymanDownVisionSetting
ClergymanLightOutButtonName,Light Down,ライトダウン,ClergymanLightOutButtonName
ClergymanLightOutMessage,The Clergyman is blocking my view!,聖職者が視界を妨害しています！,ClergymanLightOutMessage
MadMateName,Mad Mate,マッドメイト,MadMateName
MadMateTitle1,Let's help the Imposter.,インポスターを助けよう,MadMateTitle1
MadMateDescription,The decision is in the Crewmate camp but he is a companion of the Imposter. If the Imposter wins the Madmate can also win.,判定はクルーメイト陣営ですが、インポスターの仲間です。インポスターが勝利すると、マッドメイトも勝利できます。,MadMateDescription
MadMateIsCheckImpostorSetting,You can check the Imposter.,インポスターが確認できる,MadMateIsCheckImpostorSetting
MadMateCheckImpostorTaskSetting,Amount of tasks that will be able to be checked (of all tasks),確認できるようになるタスク量(全タスク内),MadMateCheckImpostorTaskSetting
MadMateUseVentSetting,Use Vent,ベントに入れる,MadMateUseVentSetting
MadMateVentMoveSetting,Move Vent,ベントで動ける,MadMateVentMoveSetting
MadMateImpostorLightSetting,Impostor Light,インポスターの視界,MadMateImpostorLightSetting
BaitName,Bait,ベイト,BaitName
BaitTitle1,Bait your enemies,相手に通報させよう,BaitTitle1
BaitDescription,If you are killed you can force the person who killed you to report you.,自分がキルされると、キルしてきた相手に強制的に通報させることができます。,BaitDescription
BaitReportTimeSetting,Report Time,通報までの時間,BaitReportTimeSetting
HomeSecurityGuardName,Home Security Guard,自宅警備員,HomeSecurityGuardName
HomeSecurityGuardTitle1,Guard My Home,自分たちの家を守ろう,HomeSecurityGuardTitle1
HomeSecurityGuardDescription,It is a Crewmate with no tasks.,タスクがないクルーメイトです。,HomeSecurityGuardDescription
StuntManName,Stunt Man,スタントマン,StuntManName
StuntManTitle1,Guard Impostor Kill,インポスターのキルを防ごう,StuntManTitle1
StuntManDescription,It can prevent a set number of kills unconditionally. If a kill is prevented a text will appear in the meeting stating that you were protected by a guardian angel.,無条件で設定回数だけキルを防げます。キルを防いだ場合、会議に守護天使に守られたというのテキストが表示されます。,StuntManDescription
StuntManGuardMaxCountSetting,Guard Max Count,ガードできる回数,StuntManGuardMaxCountSetting
MovingName,Moving,ムービング,MovingName
MovingTitle1,Let's run away from the Imposter.,インポスターから逃げよう,MovingTitle1
MovingCoolDownSetting,Teleportation Cool Time,テレポートクールタイム,MovingCoolDownSetting
MovingButtonSetName,Location Set,場所セット,MovingButtonSetName
MovingButtonTpName,Teleport,テレポート,MovingButtonTpName
QuarreledName,Quarreled,クラード,QuarreledName
QuarreledIntro,{0} and it's Quarreled!,{0}とクラードになりました！,QuarreledIntro
QuarreledTeamCountSetting,Max Teams,チーム数,QuarreledTeamCountSetting
QuarreledParSetting,Only Crewmate Team,排出される確率,QuarreledParSetting
QuarreledOnlyCrewMateSetting,Discharge probability,クルーメイト陣営のみ,QuarreledOnlyCrewMateSetting
QuarreledWinText,Quarreled{0}Win,クラード{0}勝利,QuarreledWinText
OpportunistName,Opportunist,オポチュニスト,OpportunistName
OpportunistTitle1,We'll survive.,生き残ろう,OpportunistTitle1
OpportunistTitle2,Let's try not to die.,死なないようにしよう,OpportunistTitle2
OpportunistDescription,If you are still alive by the end of the game you get an additional win.,ゲーム終了時までに生き残っていると、追加勝利できます。,OpportunistDescription
BestfalsechargeName,Best False Charge,ベスト冤罪ヤー,BestfalsechargeName
BestfalsechargeTitle1,Lets' Task!,タスクをしよう,BestfalsechargeTitle1
BestfalsechargeDescription,After the first meeting it dies.,最初の会議が終わると死にます。,BestfalsechargeDescription
NiceGamblerName,Nice Gambler,ナイスギャンブラー,NiceGamblerName
NiceGamblerTitle1,Lets' Gambler!,ギャンブルをしよう,NiceGamblerTitle1
NiceGamblerUseCountSetting,Use Count,使える回数,NiceGamblerUseCountSetting
EvilGamblerName,Evil Gambler,イビルギャンブラー,EvilGamblerName
EvilGamblerTitle1,Lets' Kill!,キルをしよう,EvilGamblerTitle1
EvilGamblerDescription,Changes the kill rules every time you kill.,キルする毎にキルクールタイムが変化します,EvilGamblerDescription
EvilGamblerSucTimeSetting,Kill cool time on success,成功時のキルクールタイム,EvilGamblerSucTimeSetting
EvilGamblerNotSucTimeSetting,Kill Cool Time on Failure,失敗時のキルクールタイム,EvilGamblerNotSucTimeSetting
EvilGamblerSucParSetting,Success probability,成功確率,EvilGamblerSucParSetting
ResearcherName,Researcher,研究者,ResearcherName
ResearcherTitle1,Let's do some research.,研究をしよう,ResearcherTitle1
ResearcherOneTurnSetting,Maximum number of samples per turn,1ターンの最大サンプル数,ResearcherOneTurnSetting
SelfBomberName,Self Bomber,自爆魔,SelfBomberName
SelfBomberTitle1,Lets' Self Bomb!,自爆をしよう,SelfBomberTitle1
SelfBomberDescription,Shapeshifting causes self-destruction. If you self-destruct you will die involving everyone around you.,シェイプシフトをすることで、自爆します。自爆をすると周りの人を巻き込んで死亡します。,SelfBomberDescription
SelfBomberScopeSetting,Range (radius),範囲(半径),SelfBomberScopeSetting
SelfBomberButtonName,Self Bomb,自爆,SelfBomberButtonName
GodName,God,神,GodName
GodTitle1,You Are God!!,あなたは神だ,GodTitle1
GodDescription,If you survive to the end you take away the win. Everyone's position is known.,最後まで生き残っていると、勝利を奪い取ります。全員の役職がわかります。,GodDescription
GodViewVoteSetting,I know who to vote for.,投票先がわかる,GodViewVoteSetting
GodIsEndTaskWinSetting,You have to finish the task to win.,タスクを終わらせないと勝利できない,GodIsEndTaskWinSetting
AllCleanerName,All Cleaner,オールクリーナー,AllCleanerName
AllCleanerTitle1,Let's get rid of the corpse.,死体を消そう,AllCleanerTitle1
AllCleanerCountSetting,Number of times it can be used in one game,1試合中に使える回数,AllCleanerCountSetting
AllCleanerButtonName,Clean,クリーン,AllCleanerButtonName
NiceNekomataName,Nice Nekomata,ナイス猫又,NiceNekomataName
NiceNekomataTitle1,Let's take him on the road.,道連れにしよう,NiceNekomataTitle1
NiceNekomataTitle2,Let's have a human mess.,人外ガチャをしよう,NiceNekomataTitle2
NiceNekomataTitle3,Let's mess around!,ガチャしようぜ！,NiceNekomataTitle3
NiceNekomataDescription,If you are exiled at a meeting you take one of them with you on the road.,自分が会議で追放されると、誰か一人を道連れにします。,NiceNekomataDescription
NiceNekomataIsChainSetting,Chain Nekomata,猫又同士が連鎖する,NiceNekomataIsChainSetting
EvilNekomataName,Evil Nekomata,イビル猫又,EvilNekomataName
EvilNekomataTitle1,Let's take him on the road.,道連れにしよう,EvilNekomataTitle1
EvilNekomataDescription,If you are expelled from the meeting you will take one person with you including your friends.,自分が会議で追放されると、仲間含む誰か一人を道連れにします。,EvilNekomataDescription
JackalFriendsName,Jackal Friends,ジャッカルフレンズ,JackalFriendsName
JackalFriendsTitle1,Help Jackal.,ジャッカルを助けよう,JackalFriendsTitle1
JackalFriendsTitle2,I'll help you kill them all.,全員ぶち殺す手伝いをしよう,JackalFriendsTitle2
JackalFriendsDescription,It is judged as Crewmate. but is in the Jackal camp. Jackals can win if they win. Jackal Friends is not recognized by Jackal. Help Jackal so that the Jackal camp wins!,クルーメイトと判定されますが、ジャッカル陣営です。\nジャッカルが勝利すると、勝利できます。ジャッカルフレンズはジャッカルからは分かりません。\nジャッカル陣営が勝利するようにジャッカルを助けましょう！。,JackalFriendsDescription
JackalFriendsIsCheckJackalSetting,Is Check Jackal,ジャッカルをチェックできる,JackalFriendsIsCheckJackalSetting
DoctorName,Doctor,ドクター,DoctorName
DoctorTitle1,Check Vitals,バイタルをチェックしよう,DoctorTitle1
DoctorVitalName,Vital,バイタル,DoctorVitalName
CountChangerName,Count Changer,カウントチェンジャー,CountChangerName
CountChangerTitle1,Let's change it,変更しよう,CountChangerTitle1
CountChangerTitle2,Let's swap the judgment with the enemy.,敵と判定を入れ替えよう,CountChangerTitle2
CountChangerMaxCountSetting,Maximum count,最大回数,CountChangerMaxCountSetting
CountChangerNextTurnSetting,Reflected in next turn,次のターンに反映,CountChangerNextTurnSetting
CountChangerButtonName,Change,チェンジ,CountChangerButtonName
PursuerName,Pursuer,追跡者,PursuerName
PursuerTitle1,Let's track the other camps.,他陣営を追跡しよう,PursuerTitle1
PursuerTitle2,Let's get our bearings.,位置を把握しよう,PursuerTitle2
PursuerTitle3,Let's go after him and kill him.,後を追ってキルしよう,PursuerTitle3
MinimalistName,Minimalist,ミニマリスト,MinimalistName
MinimalistTitle1,Let's Kill.,キルをしよう,MinimalistTitle1
MinimalistTitle2,Get rid of unnecessary stuff and kill efficiently!,不必要なものを捨て、効率よくキルしよう,MinimalistTitle2
MinimalistDescription,Instead of less kill cooling. some buttons are not available.,キルクールが少ない代わりに、一部のボタンが使えません。,MinimalistDescription
MinimalistKillCoolSetting,Minimalist Kill Cool Time,ミニマリストのキルクールタイムの設定,MinimalistKillCoolSetting
MinimalistVentSetting,Use Vent,ベントが使える,MinimalistVentSetting
MinimalistSaboSetting,Use Sabotage,サボタージュが使える,MinimalistSaboSetting
MinimalistReportSetting,Use DeadBody Report,通報ができる,MinimalistReportSetting
HawkName,Hawk,ホーク,HawkName
HawkTitle1,Let's figure out what we're doing.,行動を把握しよう,HawkTitle1
HawkCoolTimeSetting,Cool Time,クールタイム,HawkCoolTimeSetting
HawkDurationTimeSetting,Duration,継続時間,HawkDurationTimeSetting
HawkButtonName,Hawk Eye,ホークアイ,HawkButtonName
EgoistName,Egotist,エゴイスト,EgoistName
EgoistTitle1,We can survive this.,生き残ろう,EgoistTitle1
EgoistDescription,Imposter judgment. The imposter appears to be a peer. If all the Imposters are dead and the Imposter's victory condition is achieved (except Sabotage) the Egoist wins.,インポスター判定です。インポスターからは仲間に見えます。インポスターがすべて死んでいる状態で、インポスターの勝利条件を達成する(サボタージュ以外)とエゴイストの勝利です。,EgoistDescription
EgoistUseVentSetting,I can use Vent.,ベントを使える,EgoistUseVentSetting
EgoistUseSaboSetting,Can use Sabotage,サボタージュが使える,EgoistUseSaboSetting
EgoistImpostorLightSetting,Imposter's Vision,インポスターの視界,EgoistImpostorLightSetting
EgoistUseKillSetting,Can use Kill,キルできる,EgoistUseKillSetting
NiceRedRidingHoodName,NiceRedRidingHood,ナイス赤ずきん,NiceRedRidingHoodName
NiceRedRidingHoodTitle1,Come back to life,生き返ろう,NiceRedRidingHoodTitle1
NiceRedRidingHoodCount,Maximum number of revives,最大生き返り回数,NiceRedRidingHoodCount
EvilEraserName,Evil Eraser,イビルイレイサー,EvilEraserName
EvilEraserTitle1,Let's wipe out their abilities.,能力を消し去ろう,EvilEraserTitle1
EvilEraserMaxCountSetting,Max Erase Count,最大削除回数,EvilEraserMaxCountSetting
WorkpersonName,Work person,仕事人,WorkpersonName
WorkpersonTitle1,Let's do the work and win!,仕事をして勝利しよう,WorkpersonTitle1
WorkpersonDescription,Wins if you finish the task,タスクを終わらせることで勝利できます。,WorkpersonDescription
WorkpersonIsAliveWinSetting,You have to be alive to win,生存していないと勝利できない,WorkpersonIsAliveWinSetting
MagazinerName,Magaziner,マガジナー,MagazinerName
MagazinerTitle1,Save your kills!,キルを貯めよう,MagazinerTitle1
MagazinerSetTimeSetting,Kill cool time after magazine use,マガジン使用後のキルクールタイム,MagazinerSetTimeSetting
MagazinerAddButtonName,Save,貯める,MagazinerAddButtonName
MagazinerGetButtonName,Set,セット,MagazinerGetButtonName
LoversName,Lovers.,ラバーズ,LoversName
LoversIntro,I'm in love with {0}!,{0}と恋に落ちてしまった！,LoversIntro
LoversDescription,Lovers is a duplicate position given in addition to other positions. Lovers person will see a heart mark next to their name.,恋人は他の役職に重複して与えられ、恋人同士は名前の後のハートマークで確認することが出来ます。,LoversDescription
LoversTeamCountSetting,Number of couples,カップル数,LoversTeamCountSetting
LoversParSetting,Discharge probability,排出確率,LoversParSetting
LoversOnlyCrewMateSetting,Chosen only by Cluemate,クルーメイトのみに選ばれる,LoversOnlyCrewMateSetting
LoversSingleTeamSetting,Single camp,単独陣営,LoversSingleTeamSetting
LoversSameDieSetting,Two people die at the same time,2人同時に死ぬ,LoversSameDieSetting
LoversAliveTaskCountSetting,Tasks are counted when surviving,生存時、タスクがカウントされる,LoversAliveTaskCountSetting
LoversDuplicationQuarreledSetting,Does not overlap with Quarreled,クラードと重複しない,LoversDuplicationQuarreledSetting
MayorName,Mayor,メイヤー,MayorName
MayorTitle1,Let's add our vote at the meeting.,会議で票を追加で入れよう,MayorTitle1
MayorDescription,Has more votes than usual when voting,票する時に通常よりも多くの票を持ちます。,MayorDescription
MayorVoteCountSetting,Mayer's vote count,メイヤーの票数,MayorVoteCountSetting
trueloverName,True Lover,純愛者,trueloverName
trueloverTitle1,Let's fall in love at first sight,一目惚れしよう,trueloverTitle1
trueloverDescription,Can be Lovers with any person. wins if survives with Lovers,誰かを愛することが出来、愛する相手と生きていた場合、その相手と勝利します,trueloverDescription
trueloverloveButtonName,Love,一目惚れ,trueloverloveButtonName
TechnicianName,Technician,技術者,TechnicianName
TechnicianTitle1,Use technology to repair sabotage!,技術を駆使してサボタージュを修理しよう,TechnicianTitle1
TechnicianDescription,Can only enter the vent during sabotage,サボタージュの間のみベントに入れます,TechnicianDescription
SerialKillerName,Serial Killer,シリアルキラー,SerialKillerName
SerialKillerTitle1,Kill and Survive!,キルをして生存しよう,SerialKillerTitle1
SerialKillerDescription,If you don't get a kill within a certain amount of time you will self-destruct,設定された時間内にキルを出来なかった場合、自爆します,SerialKillerDescription
SerialKillerSuicideTimeSetting,Time to suicide,自殺までの時間,SerialKillerSuicideTimeSetting
SerialKillerKillTimeSetting,Kill time,キルクールタイム,SerialKillerKillTimeSetting
SerialKillerIsMeetingResetSetting,Resets when you enter a meeting.,会議に入るとリセットされる,SerialKillerIsMeetingResetSetting
SerialKillerSuicideText,{0} seconds to suicide,自殺まで後{0}秒,SerialKillerSuicideText
OverKillerName,OverKiller,オーバーキラー,OverKillerName
OverKillerTitle1,Let's cover up the other kills.,他のキルを隠蔽しよう,OverKillerTitle1
OverKillerDescription,A lot of corpses appear when you kill,キルした際に沢山の死体を作ります,OverKillerDescription
OverKillerKillCoolTimeSetting,OverKiller Kill Cool Time,オーバーキラーのキルクールタイム,OverKillerKillCoolTimeSetting
OverKillerKillCountSetting,Number of bodies per,一回あたりの死体数,OverKillerKillCountSetting
LevelingerName,Levelinger,レベリンガー,LevelingerName
LevelingerTitle1,Save CP and raise your level!,経験値を貯めてレベルをあげよう,LevelingerTitle1
LevelingerOneKillXPSetting,XP gained from kills,キルで得られる経験値,LevelingerOneKillXPSetting
LevelingerUpLevelXPSetting,Number of experience levels gained,レベルがあがる経験値数,LevelingerUpLevelXPSetting
LevelingerGetPowerSetting, Abilities gained at level,レベルで得られる能力,LevelingerGetPowerSetting
LevelingerSettingKeep,Keep previous ability,前の能力をキープ,LevelingerSettingKeep
LevelingerSettingTwoVote,Increased by 1 vote,1投票数増加,LevelingerSettingTwoVote
LevelingerReviveXPSetting,Can be revived by spending XP.,経験値を消費して復活できる,LevelingerReviveXPSetting
LevelingerUseXPReviveSetting,Amount of XP to use,使用する経験値量,LevelingerUseXPReviveSetting
EvilMovingName,EvilMoving,イビルムービング,EvilMovingName
EvilMovingTitle1,Lets Teleport Kill!,テレポートをしてキルしよう,EvilMovingTitle1
AmnesiacName,Amnesiac,忘却者,AmnesiacName
AmnesiacTitle1,Let's call the cops and join them.,通報して仲間になろう,AmnesiacTitle1
SideKillerName,SideKiller,サイドキラー,SideKillerName
SideKillerTitle1,Make friends and win!,仲間を作って勝利しよう,SideKillerTitle1
SideKillerKillCoolTimeSetting,SideKiller Kill Cool Time.,サイドキラーのキルクールタイム,SideKillerKillCoolTimeSetting
SideKillerMadKillerKillCoolTimeSetting,MadKiller Kill Cool Time.,マッドキラーのキルクールタイム,SideKillerMadKillerKillCoolTimeSetting
MadKillerName,MadKiller,マッドキラー,MadKillerName
MadKillerTitle1,Let's promote and kill!,昇格してキルをしよう,MadKillerTitle1
SurvivorName,Survivor,サバイバー,SurvivorName
SurvivorTitle1,Survive and Kill!,生き残りながらキルをしよう,SurvivorTitle1
SurvivorDescription,If you do not survive you will not win even if the imposter wins.,生き残っていないとインポスターが勝利しても勝利できません。,SurvivorDescription
SurvivorKillCoolTimeSetting,Kill Cool Time,キルクールタイム,SurvivorKillCoolTimeSetting
MadMayorName,MadMayor,マッドメイヤー,MadMayorName
MadMayorTitle1,Let's abuse our power at the meeting.,会議で権力を乱用しよう,MadMayorTitle1
MadMayorVoteCountSetting,MadMayer's vote count,マッドメイヤーの票数,MadMayorVoteCountSetting
MadMayorDescription,The decision is in the Crewmate camp but he is a companion of the Imposter. If the Imposter wins the Madmayor can also win.,判定はクルーメイト陣営ですが、インポスターの仲間です。インポスターが勝利すると、マッドメイヤーも勝利できます。,MadMayorDescription
MadMayorIsCheckImpostorSetting,You can check the Imposter.,インポスターが確認できる,MadMayorIsCheckImpostorSetting
MadMayorUseVentSetting,Use Vent,ベントを使える,MadMayorUseVentSetting
MadMayorVentMoveSetting,Move Vent,ベントで動ける,MadMayorVentMoveSetting
MadMayorImpostorLightSetting,Impostor Light,インポスターの視界,MadMayorImpostorLightSetting
MadMayorCheckImpostorTaskSetting,Amount of tasks that will be able to be checked (of all tasks),確認できるようになるタスク量（全タスク内）,MadMayorCheckImpostorTaskSetting
NiceHawkName,NiceHawk,ナイスホーク,NiceHawkName
NiceHawkTitle1,See it all.,全てを見渡せ,NiceHawkTitle1
NiceHawkTitle2,Let's catch the crime.,犯行を捉えよう,NiceHawkTitle2
BakeryName,Baker,パン屋,BakeryName
BakeryTitle1,Would you like some breads?,焼きたてのパンはいかが？,BakeryTitle1
BakeryExileText,Bakery baked some breads for crewmates.,パン屋によってパンが振舞われました。,BakeryExileText
BakeryExileText2,Bakery baked YOKINGDELICIOUSSSSSSSSS!!!!,パン屋ｧｧﾉｫｫﾖｯｷﾝｸﾞﾍﾞｯﾋﾟﾝｲｰｴｰｴｯｸｽｵｲｼｲ,BakeryExileText2
MadStuntManName,MadStuntman,マッドスタントマン,MadStuntManName
MadStuntManTitle1,Prevent kills and connect with impostors.,キルを防いでインポスターと繋がろう,MadStuntManTitle1
MadStuntManDescription,Can prevent himself from being killed,自分自身へのキルを防ぐことが出来ます,MadStuntManDescription
MadStuntManUseVentSetting,UseVent,ベントを使える,MadStuntManUseVentSetting
MadStuntManImpostorLightSetting,Impostor Light,インポスターの視界,MadStuntManImpostorLightSetting
MadHawkName,MadHawk,マッドホーク,MadHawkName
MadHawkTitle1,See it all.,すべてを見渡そう,MadHawkTitle1
MadJesterName,MadJester,マッドてるてる,MadJesterName
MadJesterTitle1,Get voted out and win with the Imposters!,投票で追放されてインポスターと勝利しよう,MadJesterTitle1
MadJesterDescription,It is a crewmate decision. but it is in the Imposter camp. \nThe imposter wins by being expelled at the meeting.,クルーメイトの判定ですが、インポスター陣営です。\n会議で追放されることでインポスターの勝利になります。,MadJesterDescription
FalseChargesName,FalseCharges,冤罪師,FalseChargesName
FalseChargesTitle1,Let the false accusations win!,冤罪をさせて勝利しよう,FalseChargesTitle1
FalseChargesDescription,You can make the opponent who presses the button kill you. \nYou will win if the opponent you have killed is expelled by the conference.,ボタンを押した相手に自分をキルさせることができます。\nキルさせた相手が会議で追放されたら勝利できます、,FalseChargesDescription
FalseChargesExileTurn,Turn of the false accusation range,冤罪の範囲のターン,FalseChargesExileTurn
FalseChargesCoolTime,Cool Time,クールタイム,FalseChargesCoolTime
FalseChargesButtonTitle,False Charge,冤罪,FalseChargesButtonTitle
NiceTeleporterName,Nice Teleporter,ナイステレポーター,NiceTeleporterName
NiceTeleporterTitle1,Teleport and uncover impostors!,テレポートしてインポスターを暴こう,NiceTeleporterTitle1
NiceTeleporterCoolDownSetting,Teleport cool down,テレポートのクールダウン,NiceTeleporterCoolDownSetting
CelebrityName,Celebrity,スター,CelebrityName
CelebrityTitle1,A Celebrity for everyone!,みんなのスター！！,CelebrityTitle1
CelebrityDescription,You can tell from all of them that you are the star.,全員から自分がスターと分かります。,CelebrityDescription
CelebrityChangeRoleViewSetting,Name color will remain Celebrity even if the position changes.,役職が変わっても名前の色がスターのままになる,CelebrityChangeRoleViewSetting
NocturnalityName,Nocturnality,夜行性,NocturnalityName
NocturnalityTitle1,You live in darkness.,あなたは暗闇の中で生きている,NocturnalityTitle1
NocturnalityDescription,The view during power outage and normal view are opposite.,停電中と通常の視界が反対になっています。,NocturnalityDescription
ObserverName,Observer,選挙管理委員,ObserverName
ObserverTitle1,Let's monitor everything.,すべてを監視しよう,ObserverTitle1
ObserverDescription,You can see where everyone is voting during the meeting.,会議中に全員の投票先を確認できます。,ObserverDescription
VampireName,Vampire,ヴァンパイア,VampireName
VampireTitle1,Let's do a delayed kill.,遅延キルしよう,VampireTitle1
VampireKillDelay,Kill Delay,キル遅延,VampireKillDelay
DarkKillerName,DarkKiller,ダークキラー,DarkKillerName
DarkKillerTitle1,Let's kill in the dark,闇に紛れて殺そう,DarkKillerTitle1
DarkKillerKillCoolSetting,Dark Killer's Kill Cool Time,ダークキラーのキルクールタイム,DarkKillerKillCoolSetting
FoxName,Fox,妖狐,FoxName
FoxTitle1,I am Fox!,私は狐です!,FoxTitle1
SeerName,Seer,シーア,SeerName
SeerTitle1,You will see players die,船員の気配を感じ取ろう,SeerTitle1
SeerMode,Mode,モード,SeerMode
SeerModeBoth,Show Death Flash + Souls,死の点滅＆幽霊が見える,SeerModeBoth
SeerModeFlash,Show Death Flash,死の点滅が見える,SeerModeFlash
SeerModeSouls,Show Souls,幽霊が見える,SeerModeSouls
SeerLimitSoulDuration,Limit Soul Duration,時間経過で幽霊が消える,SeerLimitSoulDuration
SeerSoulDuration,Soul Duration,幽霊が見える時間,SeerSoulDuration
MadSeerName,MadSeer,マッドシーア,MadSeerName
MadSeerTitle1,Feel the success of your husband,ご主人の活躍を感じ取ろう,MadSeerTitle1
EvilSeerName,EvilSeer,イビルシーア,EvilSeerName
EvilSeerTitle1,You will see players die,船員の気配を感じ取ろう,EvilSeerTitle1
RemoteSheriffName,Remote Sheriff,リモートシェリフ,RemoteSheriffName
RemoteSheriffTitle1,Let's do a Remote Sheriff kill!,遠隔でシェリフキルをしよう,RemoteSheriffTitle1
RemoteSheriffIsKillTeleportSetting,Kill Teleport,キルテレポート,RemoteSheriffIsKillTeleportSetting
TeleportingJackalName,TeleportingJackal,テレポートジャッカル,TeleportingJackalName
TeleportingJackalTitle1,Teleport and kill all crewmates and impostors!,テレポートして全員ぶち殺そう,TeleportingJackalTitle1
MadMakerName,MadMaker,マッドメーカー,MadMakerName
MadMakerTitle1,Let's get more lunatics!,狂人を増やそう！,MadMakerTitle1
RamdomMapSetting,RandomMap,ランダムマップ,RamdomMapSetting
RMSkeldSetting,Skeld,スケルドが有効,RMSkeldSetting
RMMiraSetting,Mira,ミラが有効,RMMiraSetting
RMPolusSetting,Polus,ポーラスが有効,RMPolusSetting
RMAirshipSetting,AirShip,エアーシップが有効,RMAirshipSetting
RMSubmergedSetting,Submerged,サブマージドが有効,RMSubmergedSetting
DemonName,Demon,悪魔,DemonName
DemonTitle1,Curse the Crew and Help the Imposter!,クルーを呪いながらインポスターを手助けせよ,DemonTitle1
DemonIsAliveWinSetting,You have to be alive to win.,生存していないと勝利できない,DemonIsAliveWinSetting
DemonButtonName,Curse,呪う,DemonButtonName
TaskManagerName,TaskManager,タスクマネージャー,TaskManagerName
TaskManagerTitle1,Finish the task and mount up!,タスクを終わらせ、マウントを取ろう,TaskManagerTitle1
SeerFriendsName,SeerFriends,シーアフレンズ,SeerFriendsName
SeerFriendsTitle1,Let's feel the activity of Jackal,ジャッカルの活躍を感じ取ろう,SeerFriendsTitle1
JackalSeerName,SeerJackal,ジャッカルシーア,JackalSeerName
JackalSeerTitle1,Detect the dead and bring victory to your camp!,死者を感知し自陣営に勝利をもたらせ!,JackalSeerTitle1
SidekickSeerName,Sidekick(Seer),サイドキック(シーア),SidekickSeerName
SidekickSeerTitle1,Let's help Jackal with the dead detection ability that we got,貰った死者感知能力でジャッカルを助けよう,SidekickSeerTitle1
AssassinAndMarineName,<color=#ff0000>Assassin</color> and <color=#AFDFE4>Merine</color>,<color=#ff0000>アサシン</color>と<color=#AFDFE4>マーリン</color>,AssassinAndMarineName
AssassinSettingPlayerCountName,Number of <color=#ff0000>Assassin</color>,<color=#ff0000>アサシン</color>の人数,AssassinSettingPlayerCountName
