Key,English,Japanese,SChinese
SheriffCoolDownSetting,Kill Cooldown,キルクールタイム,击杀冷却时间
SheriffIsKillNeutralSetting,Can kill neutrala,第三陣営をキルできる,可以击杀独立阵营
SheriffIsKillLoversSetting,Can kill lovers,ラバーズをキルできる,可以击杀恋人阵营
SheriffIsKillMadRoleSetting,Can kill mad roles,マッド系をキルできる,可以击杀叛徒职业
SheriffIsKillImpostorSetting,Can kill impostors,インポスターをキルできる,可以击杀伪装者阵营
SheriffIsKillFriendsRoleSetting,Can kill jackal friend roles,ジャッカルフレンズ系をキルできる,可以击杀狈族职业
SheriffIsKillQuarreledSetting,Can kill quarreleds,クラードをキルできる,可以击杀恶魔天使
SheriffYes,Yes,できる,是
SheriffNo,No,できない,否
SheriffMaxKillCountSetting,Maximum number of kills,最大キル数,最大执法杀次数
SheriffKillButtonName,Kill,キル,击杀
SheriffNumTextName,{0} shots remaining.,残り{0}発,还剩{0} 次
MeetingSheriffName,Meeting Sheriff,ミーティング シェリフ,执行官
MeetingSheriffTitle1,Kill an outsider in a meeting!,人外を会議でキルしよう,在会议中击杀敌人
MeetingSheriffTitle2,Kill an outsider in a meeting and lead your crewmates to victory!,人外を会議でキルしてクルーメイトを勝利に導こう,在会议审判伪装者带领船员获得胜利
MeetingSheriffTitle3,Kill an outsider in a meeting to prevent a power play,人外を会議でキルしてパワープレイを防ごう,在会议中审判伪装者以阻止伪装者能力的发动
MeetingSheriffTitle4,Kill an outsider in a meeting to prevent a PP,人外を会議でキルしてPPを防ごう,在会议审判杀伪装者以阻止能力发动
MeetingSheriffIsKillNeutralSetting,Can Kill a Neutral,第三陣営をキルできる,执行官可以审判独立阵营
MeetingSheriffIsKillMadRoleSetting,Can Kill a Madmate,マッド系役職をキルできる,执行官可以审判叛徒职业
MeetingSheriffYes,Yes,できる,是
MeetingSheriffNo,No,できない,否
MeetingSheriffMaxKillCountSetting,Maximum number of Meeting Sheriff kills,ミーティングシェリフの最大キル数,最大审判次数
MeetingSheriffMeetingmultipleKillSetting,Can you get multiple kills in one meeting?,一会議中に複数キルできるか,执行官可以连续审判
JackalName,Jackal,ジャッカル,豺狼
JackalTitle1,Try to kill Impostors and Crewmates,インポスターとクルーメイトをキルしよう,杀死所有船员和伪装者
JackalTitle2,Kill the other team to win!,他陣営をキルして勝利しよう,把其他人全部杀死获得胜利
JackalTitle3,Let's just kill them all.,全員ぶち殺そう,杀死所有人
JackalCoolDownSetting,Jackal's kill cool time,ジャッカルのキルクールタイム,豺狼击杀冷却时间
JackalUseVentSetting,Use Vent,ベントを使える,豺狼可以使用通风口
JackalUseSaboSetting,Use Sabotage,サボタージュが使える,豺狼可以破坏
JackalCreateSidekickSetting,Jackal can make a Sidekick,ジャッカルがサイドキックを作れる,豺狼可以招募跟班
JackalNewJackalCreateSidekickSetting,New Jackal can make Sidekick,新ジャッカルがサイドキックを作れる,晋级的跟班可以招募
JackalOn,On,オン,开启
JackalOff,Off,オフ,关闭
JackalCreateSidekickButtonName,Sidekick!,サイドキック！,招募
SidekickName,Sidekick,サイドキック,跟班
SidekickTitle1,Help Jackal,ジャッカルを助けよう,帮助豺狼获得胜利
TeleporterName,Teleporter,テレポーター,传送师
TeleporterTitle1,Let's get everyone together,みんなを集めよう,把所有人传送到一起
TeleporterTitle2,Let's get everyone away from the corpse position.,みんなを死体位置から遠ざけよう,利用传送让其他人远离尸体
TeleporterCoolDownSetting,Teleporter Sabotage Kill Cool Down,テレポーターサボタージュのキルクールダウン,紧急破坏期间击杀冷却时间
TeleporterTeleportTimeSetting,Time to be teleported,テレポートされるまでの時間,技能冷却时间
TeleporterTeleportButton,Teleport,テレポート！,传送
TeleporterTPTextMessage,The teleporter teleported you to {0}!,テレポーターが{0}にテレポートさせた!,传送师把你传送到{0}！
SpiritMediumName,Medium,霊媒師,通灵师
SpiritMediumTitle1,Divine the dead person's position,やられた人を占い役職を調べよう,对死者的灵魂通灵知晓他们的职业
SpiritMediumIsAutoMode,null,null,自动模式
SpiritMediumDisplaySetting,Position visibility,陣営表示にする,信息看见性
SpiritMediumDetailMode,Detail display,詳細表示,详细信息
SpiritMediumEncampMode,Position Display,陣営表示,详细阵营
SpiritMediumMaxCountSetting,Number of times you can divine,占える回数,通灵师最大可通灵次数
SpeedBoosterName,Speed Booster,スピードブースター,增速师
SpeedBoosterTitle1,Make your speed faster!,スピードを速くしよう,飞一样的感觉！
SpeedBoosterTitle2,Lead your crew to victory with super speed!,スーパースピードでクルーを勝利に導こう,利用自己飞快的速度带领船员走向胜利
SpeedBoosterCooldownSetting,Speed Up Cooldown,スピードアップクールダウン,技能冷却时间
SpeedBoosterDurationSetting,Duration of speed-up,スピードアップの継続時間,技能持续时间
SpeedBoosterPlusSpeedSetting,Double your speed,スピードの倍速,技能持续时间内速度增加的倍数
SpeedBoosterBoostButtonName,Speed\nBoost,スピード\nブースト,速度\n加倍
EvilSpeedBoosterName,Evil Speed Booster,イビルスピードブースター,邪恶的增速师
EvilSpeedBoosterTitle1,Make your speed faster!,スピードを速くしよう,飞一样的感觉！
EvilSpeedBoosterTitle2,Use your super speed to lead your Impostor to victory!,スーパースピードでインポスターを勝利に導こう,利用自己飞快的速度带领伪装者走向胜利
EvilSpeedBoosterTitle3,Get a kill with super speed!,スーパースピードでキルをしよう,击杀并迅速的离开案发现场
EvilSpeedBoosterTitle4,Let's run around and kill everyone.,走りまくって皆を瞬殺しよう,利用自己飞快的速度击杀船员
EvilSpeedBoosterCoolDownSetting,Speed Up Cooldown,スピードアップクールダウン,技能冷却时间
EvilSpeedBoosterDurationSetting,Speedup duration,スピードアップの継続時間,技能持续时间
EvilSpeedBoosterPlusSpeedSetting,Double Speed,スピードの倍速,技能持续时间内速度增加的倍数
EvilSpeedBoosterIsNotSpeedBooster,If this position is selected the speed booster will not be selected.,この役職が選ばれるとスピードブースターが選ばれない,一局游戏中这个职业出现则增速师不会出场
EvilSpeedBoosterBoostButtonName,Speed\nBoost,スピード\nブースト,速度\n加倍
TaskerName,Tasker,タスカー,特务
TaskerTitle1,Finish the task and win the Impostor!,タスクを終わらせてインポスターを勝利させよう,完成任务以让伪装者夺得胜利
TaskerTitle2,Try to finish the task!,タスクを頑張って終わらせよう,我就是大名鼎鼎的高级特务，代号-穿山甲！
TaskerIsKillCoolTaskNow,Kill cool time is saved during the task.,タスク中にキルクールタイムが貯まる,做任务期间击杀冷却仍然倒计时
TaskerCanKill,Killable,キルできる,可以击杀
TaskerWinText,Impostor Task,インポスタータスク,伪装者任务
DoorrName,Doorr,ドアー,门卫
DoorrTitle1,Let's open and close the door.,ドアを開け閉めしよう,控制门的开关
DoorrTitle2,Close the door to block the impostor!,ドアを閉めてインポスターを妨害しよう,关上门来拦截伪装者
DoorrCoolTimeSetting,Door Cool Time,ドアクールタイム,技能冷却时间
DoorrButtonText,Door Open Or Close,ドアを開け閉めする,开/关门
EvilDoorrName,Evil Doorr,イビルドアー,邪恶的门卫
EvilDoorrTitle1,Open and close doors!,ドアを開け閉めしよう,控制飞船上门的开关
EvilDoorrTitle2,Try to sabotage your crewmates!,クルーメイトを妨害しよう,尝试妨碍船员
EvilDoorrTitle3,Open and close the door immediately to block your crewmate!,すぐにドアを開け閉めしてクルーメイトを妨害しよう,快速操控门的开关来拦截船员
EvilDoorrCoolTimeSetting,Door Cool Time,ドアクールタイム,技能冷却冷却
ShielderName,Shielder,シールダー,盾牌手
ShielderTitle1,Prevent outsider kills.,人外のキルを防ごう,抵挡敌人的攻击
ShielderTitle2,Shield yourself!,自分にシールドを張ろう,保护好自己
ShielderTitle3,Try to block a foreigner's kill!,人外のキルを妨害しよう,抵挡住来自敌人的击杀
ShielderCoolTimeSetting,Shield Cool Time,シールドクールタイム,技能冷却时间
ShielderDurationSetting,Shield duration,シールド継続時間,技能持续时间
ShielderButtonName,Shield,シールド,防御
FreezerName,Freezer,フリーザー,冰术师
FreezerTitle1,Stop everyone and sabotage your crewmates!,みんなを止めてクルーメイトを妨害しよう,冻住所有人来妨碍船员
FreezerTitle2,Try to stop everyone and sabotage the task!,みんなを止めてタスクの妨害をしよう,冻住所有人来阻碍任务的推进
FreezerTitle3,Let's put them all on ice.,全員を氷漬けにしよう,冻住不许走！
FreezerCoolTimeSetting,Freeze Cool Time,フリーズクールタイム,技能冷却时间
FreezerDurationSetting,Freeze duration,フリーズ継続時間,技能持续时间
FreezerButtonName,Freeze,フリーズ,冻结
SpeederName,Speeder,スピーダー,缓速师
SpeederTitle1,Slow everyone down and sabotage your crewmates!,みんなを遅くしてクルーメイトを妨害しよう,让所有人速度变慢以妨碍船员
SpeederTitle2,Try to slow everyone down and sabotage the task!,みんなを遅くしてタスクの妨害をしよう,让所有人速度变慢以阻碍任务的推进
SpeederCoolTimeSetting,Sabotage Cool Time,サボタージュクールタイム,技能冷却时间
SpeederDurationTimeSetting,Sabotage duration,サボタージュ継続時間,技能持续时间
SpeederButtonName,SpeedDown,スピードダウン,减速
NiceGuesserName,Guesser,ゲッサー,正义的赌怪
NiceGuesserTitle1,Let's punch out the outsider.,人外を打ち抜こう,生命就是豪赌
NiceGuesserTitle2,Guess the position of the outsider,人外の役職を当てよう,在会议上猜测他人的身份
GuesserOneMeetingShortSetting,Multiple hits in one meeting,1会議に複数回打てる,可以连续猜测
GuesserShortMaxCountSetting,Number of times you can hit,打てる回数,最大猜测次数
EvilGuesserName,Evil Guesser,イビルゲッサー,邪恶的赌怪
EvilGuesserTitle1,Guess the position of the camp other than Imposter.,インポスター以外の陣営の役職を当てよう,生命就是豪赌
EvilGuesserTitle2,Guess the position of the outsider,人外の役職を当てよう,在会议上猜测他人的身份
EvilGuesserOneMeetingShortSetting,Multiple hits in one meeting,1会議に複数回打てる,可以连续猜测
EvilGuesserShortMaxCountSetting,Number of times you can hit,打てる最大数,最大猜测次数
VultureName,Vulture,ヴァルチャー,秃鹫
VultureTitle1,Let's eat a corpse.,死体を食べよう,吞噬尸体获得胜利
VultureCoolDownSetting,Corpse cooldown,死体クールダウン,技能冷却时间
VultureDeadBodyCountSetting,Victory corpse count,勝利死体数,胜利所需吞噬尸体数
VultureShowArrowsSetting,Show arrows pointing to dead bodies,死体を指す矢印を表示する,可见指向尸体箭头
NiceScientistName,Nice Scientist,ナイスサイエンティスト,正义的科学家
NiceScientistTitle1,Turn invisible and find the bodies!,透明になって死体を発見しよう,通过隐身来找寻尸体
NiceScientistTitle2,Use the power of science to win!,科学の力で勝利しよう,隐身，很神奇吧
NiceScientistCoolDownSetting,Cool Time,クールタイム,技能冷却时间
NiceScientistDurationSetting,Duration Time,継続時間,技能持续时间
ScientistButtonName,Hide,隠れる,隐身
ClergymanName,Clergyman,聖職者,牧师
ClergymanTitle1,Let's sabotage the outsider.,人外の妨害をしよう,妨碍伪装者行动
ClergymanTitle2,Let's obstruct the outsider's view.,人外の視界を妨害しよう,让伪装者们也尝尝黑暗的滋味
ClergymanCoolDownSetting,Cool Time,クールタイム,技能冷却时间
ClergymanDurationTimeSetting,Duration Time,継続時間,技能持续时间
ClergymanDownVisionSetting,Impostor Down Vision.,実行時の視界,技能持续时间内伪装者视野
ClergymanLightOutButtonName,Light Down,ライトダウン,咏唱
ClergymanLightOutMessage,The Clergyman is blocking my view!,聖職者が視界を妨害しています！,牧师正在破坏你的视野
MadmateName,Madmate,マッドメイト,叛徒
MadmateTitle1,Let's help the Impostor.,インポスターを助けよう,帮助伪装者获得胜利
MadmateDescription,The decision is in the Crewmate camp but he is a companion of the Impostor.\nIf the Impostor wins the Madmate can also win.,判定はクルーメイト陣営ですが、インポスターの仲間です。\nインポスターが勝利すると、マッドメイトも勝利できます。,叛徒属于船员阵营，但是其为伪装者的同伙。\n伪装者获胜则叛徒一同获胜。
MadmateIsCheckImpostorSetting,You can check the Impostor.,インポスターが確認できる,叛徒可以得知伪装者是谁
MadmateCheckImpostorTaskSetting,Amount of tasks that will be able to be checked (of all tasks),確認できるようになるタスク量(全タスク内),确认身份需要完成的任务量
MadmateUseVentSetting,Use Vent,ベントに入れる,可以进入通风口
MadmateVentMoveSetting,Move Vent,ベントで動ける,叛徒可以使用通风口
MadmateImpostorLightSetting,Impostor Light,インポスターの視界,拥有伪装者视野
BaitName,Bait,ベイト,诱饵
BaitTitle1,Bait your enemies,相手に通報させよう,诱骗你的敌人
BaitDescription,If you are killed you can force the person who killed you to report you.,自分がキルされると、キルしてきた相手に強制的に通報させることができます。,诱饵被杀死，则杀死诱饵的凶手将会在指定时间后强制报告诱饵的尸体。
BaitReportTimeSetting,Report Time,通報までの時間,诱饵被杀后的强制报告延迟
HomeSecurityGuardName,Home Security Guard,自宅警備員,“居家保安”
HomeSecurityGuardTitle1,Guard My Home,自分たちの家を守ろう,我爱我的家
HomeSecurityGuardDescription,It is a Crewmate with no tasks.,タスクがないクルーメイトです。,“居家保安”属于船员阵营，不需要做任务。
StuntManName,Stunt Man,スタントマン,杂技演员
StuntManTitle1,Guard Impostor Kill,インポスターのキルを防ごう,躲避伪装者的攻击
StuntManDescription,It can prevent a set number of kills unconditionally.\nIf a kill is prevented a text will appear in the meeting stating that you were protected by a guardian angel.,無条件で設定回数だけキルを防げます。\nキルを防いだ場合、会議に守護天使に守られたというのテキストが表示されます。,杂技演员可以防止若干次对自己的击杀，但是不会收到提醒。\n如果一次行动阶段中杂技演员用这种方式防止了击杀，\n那轮会议阶段开始时杂技演员将收到自己被守护天使保护了的信息。
StuntManGuardMaxCountSetting,Guard Max Count,ガードできる回数,杂技演员可以躲避击杀的次数
MovingName,Moving,ムービング,移位师
MovingTitle1,Let's run away from the Impostor.,インポスターから逃げよう,利用传送避免被伪装者杀害
MovingCoolDownSetting,Teleportation Cool Time,テレポートクールタイム,技能冷却时间
MovingButtonSetName,Location Set,場所セット,标记
MovingButtonTpName,Teleport,テレポート,瞬移
QuarreledName,Quarreled,クラード,邪恶天使
QuarreledIntro,{0} and it's Quarreled!,{0}とクラードになりました！,{0}和你是邪恶天使！
QuarreledTeamCountSetting,Max Teams,チーム数,最大对数
QuarreledParSetting,Discharge probability,排出される確率,生成概率
QuarreledOnlyCrewmateSetting,Only Crewmate Team,クルーメイト陣営のみ,只有船员可以成为邪恶天使
QuarreledWinText,Quarreled{0}Win,クラード{0}勝利,一起“入眠”吧！
OpportunistName,Opportunist,オポチュニスト,投机者
OpportunistTitle1,We'll survive.,生き残ろう,活下去
OpportunistTitle2,Let's try not to die.,死なないようにしよう,苟且偷生
OpportunistDescription,If you are still alive by the end of the game you get an additional win.,ゲーム終了時までに生き残っていると、追加勝利できます。,投机者在游戏中活到最后则投机者和获胜阵营一起获胜。
BestfalsechargeName,Best False Charge,ベスト冤罪ヤー,冤种
BestfalsechargeTitle1,Lets' Task!,タスクをしよう,你已经死了，你的存在就是来凑数的
BestfalsechargeDescription,After the first meeting it dies.,最初の会議が終わると死にます。,冤种属于船员阵营。\n在第一轮会议过后冤种就会死亡。
NiceGamblerName,Nice Gambler,ナイスギャンブラー,正义的赌徒
NiceGamblerTitle1,Lets' Gambler!,ギャンブルをしよう,搏一搏，单车变摩托！
NiceGamblerUseCountSetting,Use Count,使える回数,赌博次数
EvilGamblerName,Evil Gambler,イビルギャンブラー,邪恶的赌徒
EvilGamblerTitle1,Lets' Kill!,キルをしよう,击杀冷却会根据你的每次击杀变化
EvilGamblerDescription,Changes the kill rules every time you kill.,キルする毎にキルクールタイムが変化します,击杀冷却会伴随着你的每次击杀变化
EvilGamblerSucTimeSetting,Kill cool time on success,成功時のキルクールタイム,赌赢时击杀冷却
EvilGamblerNotSucTimeSetting,Kill Cool Time on Failure,失敗時のキルクールタイム,赌败时击杀冷却
EvilGamblerSucParSetting,Success probability,成功確率,赌赢概率
ResearcherName,Researcher,研究者,调查员
ResearcherTitle1,Let's do some research.,研究をしよう,通过调查发现伪装者
ResearcherOneTurnSetting,Maximum number of samples per turn,1ターンの最大サンプル数,一轮最多取样次数
SelfBomberName,Self Bomber,自爆魔,自爆狂
SelfBomberTitle1,Lets' Self Bomb!,自爆をしよう,我的任务完成啦！
SelfBomberDescription,Shapeshifting causes self-destruction.\nIf you self-destruct you will die involving everyone around you.,シェイプシフトをすることで、自爆します。\n自爆をすると周りの人を巻き込んで死亡します。,自爆狂属于伪装者阵营，可以自爆。\n若自爆狂自爆，自爆者与周围一定范围的玩家都会死亡。
SelfBomberScopeSetting,Range (radius),範囲(半径),范围（半径）
SelfBomberButtonName,Self Bomb,自爆,自爆
GodName,God,神,神
GodTitle1,You Are God!!,あなたは神だ,我就是神！
GodDescription,If you survive to the end you take away the win. Everyone's position is known.,最後まで生き残っていると、勝利を奪い取ります。全員の役職がわかります。,神存活到游戏结束则神单独获胜。\n所有玩家的职业对神可见。
GodViewVoteSetting,I know who to vote for.,投票先がわかる,可以看见玩家投票
GodIsEndTaskWinSetting,You have to finish the task to win.,タスクを終わらせないと勝利できない,不完成任务则不能获胜
AllCleanerName,All Cleaner,オールクリーナー,清理者
AllCleanerTitle1,Let's get rid of the corpse.,死体を消そう,杀人不留痕迹
AllCleanerCountSetting,Number of times it can be used in one game,1試合中に使える回数,清理者最大可清理次数
AllCleanerButtonName,Clean,クリーン,清理
NiceNekomataName,Nice Nekomata,ナイス猫又,正义的猫又
NiceNekomataTitle1,Let's take him on the road.,道連れにしよう,带人一起上路
NiceNekomataTitle2,Let's have a human mess.,人外ガチャをしよう,被投出去的你会带走一个人
NiceNekomataTitle3,Let's mess around!,ガチャしようぜ！,扰乱敌人的计划吧
NiceNekomataDescription,If you are exiled at a meeting you take one of them with you on the road.,自分が会議で追放されると、誰か一人を道連れにします。,正义的猫又在会议中被放逐，则正义的猫又连带存活的随机一名玩家一同死亡。
NiceNekomataIsChainSetting,Chain Nekomata,猫又同士が連鎖する,猫又之间连带时会继续连带
EvilNekomataName,Evil Nekomata,イビル猫又,邪恶的猫又
EvilNekomataTitle1,Let's take him on the road.,道連れにしよう,带人一起上路
EvilNekomataDescription,If you are expelled from the meeting you will take one person with you including your friends.,自分が会議で追放されると、仲間含む誰か一人を道連れにします。,邪恶的猫又在会议中被放逐，则邪恶的猫又连带存活的随机一名玩家一同死亡。\n邪恶的猫又可能会连带其他伪装者阵营玩家。
JackalFriendsName,Jackal Friends,ジャッカルフレンズ,狈
JackalFriendsTitle1,Help Jackal.,ジャッカルを助けよう,帮助豺狼获得胜利
JackalFriendsTitle2,I'll help you kill them all.,全員ぶち殺す手伝いをしよう,助豺狼一臂之力
JackalFriendsDescription,It is judged as Crewmate.\nbut is in the Jackal camp.\nJackals can win if they win.\nJackal Friends is not recognized by Jackal.\nHelp Jackal so that the Jackal camp wins!,クルーメイトと判定されますが、ジャッカル陣営です。\nジャッカルが勝利すると、勝利できます。\nジャッカルフレンズはジャッカルからは分かりません。\nジャッカル陣営が勝利するようにジャッカルを助けましょう！。,规则上狈被判定为船员阵营，但是其为豺狼的同伙。\n豺狼团队获胜则狈一同获胜。\n豺狼不能确认狈是谁。狈需要帮助豺狼以获得胜利。
JackalFriendsIsCheckJackalSetting,Is Check Jackal,ジャッカルをチェックできる,可以确认豺狼是谁
DoctorName,Doctor,ドクター,医生
DoctorTitle1,Check Vitals,バイタルをチェックしよう,随时查看生命监测装置来确认船员的生死
DoctorVitalName,Vital,バイタル,生命监测装置
DoctorChargeTime,null,null,任务充电持续时间
DoctorUseTime,null,null,使用持续时间
CountChangerName,Count Changer,カウントチェンジャー,迷惑师
CountChangerTitle1,Let's change it,変更しよう,迷惑他人
CountChangerTitle2,Let's swap the judgment with the enemy.,敵と判定を入れ替えよう,变更他人的阵营判定
CountChangerMaxCountSetting,Maximum count,最大回数,最大次数
CountChangerNextTurnSetting,Reflected in next turn,次のターンに反映,巫师的技能效果在下一轮生效
CountChangerButtonName,Change,チェンジ,迷惑
PursuerName,Pursuer,追跡者,追猎者
PursuerTitle1,Let's track the other camps.,他陣営を追跡しよう,追猎其他船员
PursuerTitle2,Let's get our bearings.,位置を把握しよう,你将得知你附近船员的位置
PursuerTitle3,Let's go after him and kill him.,後を追ってキルしよう,追杀吧
MinimalistName,Minimalist,ミニマリスト,极简主义
MinimalistTitle1,Let's Kill.,キルをしよう,进行一场大屠杀吧
MinimalistTitle2,Get rid of unnecessary stuff and kill efficiently!,不必要なものを捨て、効率よくキルしよう,舍弃一切不必要的技能，高效杀人。
MinimalistDescription,Instead of less kill cooling. some buttons are not available.,キルクールが少ない代わりに、一部のボタンが使えません。,极简主义的击杀冷却有所减少。\n作为代价，极简主义作为伪装者的一部分能力将无法使用。
MinimalistKillCoolSetting,Minimalist Kill Cool Time,ミニマリストのキルクールタイムの設定,击杀冷却时间
MinimalistVentSetting,Use Vent,ベントが使える,可以使用通风口
MinimalistSaboSetting,Use Sabotage,サボタージュが使える,可以破坏
MinimalistReportSetting,Use DeadBody Report,通報ができる,可以报告尸体
HawkName,Hawk,ホーク,鹰
HawkTitle1,Let's figure out what we're doing.,行動を把握しよう,一切都逃不出你的眼睛
HawkCoolTimeSetting,Cool Time,クールタイム,技能冷却时间
HawkDurationTimeSetting,Duration,継続時間,技能持续时间
HawkButtonName,Hawk Eye,ホークアイ,千里眼
EgoistName,Egotist,エゴイスト,野心家
EgoistTitle1,We can survive this.,生き残ろう,等待时机
EgoistDescription,Impostor judgment.\nThe impostor appears to be a peer.\nIf all the Impostors are dead\nand the Impostor's victory condition is achieved (except Sabotage) the Egoist wins.,インポスター判定です。\nインポスターからは仲間に見えます。\nインポスターがすべて死んでいる状態で、\nインポスターの勝利条件を達成する(サボタージュ以外)とエゴイストの勝利です。,野心家规则上属于伪装者阵营。\n野心家与伪装者阵营玩家互认。\n其他伪装者阵营玩家全部死亡后，若伪装者阵营不通过紧急破坏获得胜利，\n并且野心家存活，则野心家单独获胜。
EgoistUseVentSetting,I can use Vent.,ベントを使える,可以使用通风口
EgoistUseSaboSetting,Can use Sabotage,サボタージュが使える,可以破坏
EgoistImpostorLightSetting,Impostor's Vision,インポスターの視界,拥有伪装者视野
EgoistUseKillSetting,Can use Kill,キルできる,可以击杀
NiceRedRidingHoodName,NiceRedRidingHood,ナイス赤ずきん,正义的小红帽
NiceRedRidingHoodTitle1,Come back to life,生き返ろう,杀死你的凶手可以让你复活
NiceRedRidingHoodCount,Maximum number of revives,最大生き返り回数,最大复活次数
NiceRedRidinIsKillerDeathRevive,Resurrects even if the killers die in the task turn,キル者がタスクターンに死亡した場合でも復活する,当凶手在行动期间死亡时自动复活
EvilEraserName,Evil Eraser,イビルイレイサー,抹除者
EvilEraserTitle1,Let's wipe out their abilities.,能力を消し去ろう,抹除别人的能力
EvilEraserMaxCountSetting,Max Erase Count,最大削除回数,最大抹除次数
WorkpersonName,Work person,仕事人,工作狂
WorkpersonTitle1,Let's do the work and win!,仕事をして勝利しよう,完成你的任务获得胜利
WorkpersonDescription,Wins if you finish the task,タスクを終わらせることで勝利できます。,你在完成任务后获得胜利
WorkpersonIsAliveWinSetting,You have to be alive to win,生存していないと勝利できない,工作狂只有在存活时才能胜利
MagazinerName,Magaziner,マガジナー,快枪手
MagazinerTitle1,Save your kills!,キルを貯めよう,存下子弹以备不时之需
MagazinerSetTimeSetting,Kill cool time after magazine use,マガジン使用後のキルクールタイム,快枪手使用储存子弹后击杀冷却
MagazinerAddButtonName,Save,貯める,储存
MagazinerGetButtonName,Set,セット,使用
LoversName,Lovers.,ラバーズ,恋人
LoversIntro,I'm in love with {0}!,{0}と恋に落ちてしまった！,你和{0}坠入了爱河
LoversDescription,Lovers is a duplicate position given in addition to other positions. Lovers person will see a heart mark next to their name.,恋人は他の役職に重複して与えられ、恋人同士は名前の後のハートマークで確認することが出来ます。,恋人为一个附加职业，由两名玩家组成。\n恋人可以在他们的名字旁边看到爱心。
LoversTeamCountSetting,Number of couples,カップル数,恋人存在对数
LoversParSetting,Discharge probability,排出確率,出现概率
LoversOnlyCrewMateSetting,Chosen only by Cluemate,クルーメイトのみに選ばれる,恋人两方只能是船员阵营
LoversSingleTeamSetting,Single camp,単独陣営,恋人是否独立
LoversSameDieSetting,Two people die at the same time,2人同時に死ぬ,恋人共死
LoversAliveTaskCountSetting,Tasks are counted when surviving,生存時、タスクがカウントされる,恋人存活时任务进度计入船员总任务进度
LoversDuplicationQuarreledSetting,Does not overlap with Quarreled,クラードと重複しない,恋人中不能有玩家同时是邪恶天使
MayorName,Mayor,メイヤー,市长
MayorTitle1,Let's add our vote at the meeting.,会議で票を追加で入れよう,你的投票更有分量
MayorDescription,Has more votes than usual when voting,票する時に通常よりも多くの票を持ちます。,投票阶段市长的一票算作多票。
MayorVoteCountSetting,Mayer's vote count,メイヤーの票数,市长投票的等价票数
trueloverName,True Lover,純愛者,单相思
trueloverTitle1,Let's fall in love at first sight,一目惚れしよう,只为你而存在
trueloverDescription,Can be Lovers with any person. wins if survives with Lovers,誰かを愛することが出来、愛する相手と生きていた場合、その相手と勝利します,单相思属于独立阵营，可以选择一名玩家与其成为恋人。\n游戏结束时单相思与自己的恋人一同存活则单相思跟随自己的恋人获得胜利。
trueloverloveButtonName,Love,一目惚れ,表白
TechnicianName,Technician,技術者,修理工
TechnicianTitle1,Use technology to repair sabotage!,技術を駆使してサボタージュを修理しよう,维修船上的破坏
TechnicianDescription,Can only enter the vent during sabotage,サボタージュの間のみベントに入れます,修理工在紧急破坏出现时可以使用通风口。
SerialKillerName,Serial Killer,シリアルキラー,嗜血杀手
SerialKillerTitle1,Kill and Survive!,キルをして生存しよう,你渴望鲜血
SerialKillerDescription,If you don't get a kill within a certain amount of time you will self-destruct,設定された時間内にキルを出来なかった場合、自爆します,嗜血杀手的击杀冷却短于普通伪装者。\n若嗜血杀手不在限定时间内进行一次击杀则嗜血杀手自杀。
SerialKillerSuicideTimeSetting,Time to suicide,自殺までの時間,自杀倒计时
SerialKillerKillTimeSetting,Kill time,キルクールタイム,击杀冷却时间
SerialKillerIsMeetingResetSetting,Resets when you enter a meeting.,会議に入るとリセットされる,会议结束重置自杀倒计时
SerialKillerSuicideText,{0} seconds to suicide,自殺まで後{0}秒,{0}秒后自杀
OverKillerName,OverKiller,オーバーキラー,欺诈师
OverKillerTitle1,Let's cover up the other kills.,他のキルを隠蔽しよう,用假尸体来掩盖犯罪
OverKillerDescription,A lot of corpses appear when you kill,キルした際に沢山の死体を作ります,你杀人时场上会多出数个尸体
OverKillerKillCoolTimeSetting,OverKiller Kill Cool Time,オーバーキラーのキルクールタイム,击杀冷却时间
OverKillerKillCountSetting,Number of bodies per,一回あたりの死体数,击杀时出现的尸体数
LevelingerName,Levelinger,レベリンガー,修徒
LevelingerTitle1,Save CP and raise your level!,経験値を貯めてレベルをあげよう,每次击杀都会使你的修为逐渐强大
LevelingerOneKillXPSetting,XP gained from kills,キルで得られる経験値,每次击杀可获取的经验
LevelingerUpLevelXPSetting,Number of experience levels gained,レベルがあがる経験値数,升级所需经验
LevelingerGetPowerSetting,Abilities gained at level,レベルで得られる能力,升级后获得的能力
LevelingerSettingKeep,Keep previous ability,前の能力をキープ,保留之前能力
LevelingerSettingTwoVote,Increased by 1 vote,1投票数増加,票数增加一票
LevelingerReviveXPSetting,Can be revived by spending XP.,経験値を消費して復活できる,可以消耗经验复活
LevelingerUseXPReviveSetting,Amount of XP to use,使用する経験値量,复活所需经验值
EvilMovingName,EvilMoving,イビルムービング,邪恶的移位师
EvilMovingTitle1,Lets Teleport Kill!,テレポートをしてキルしよう,利用移位杀害船员
AmnesiacName,Amnesiac,忘却者,失忆者
AmnesiacTitle1,Let's call the cops and join them.,通報して仲間になろう,努力回想你的职业
SideKillerName,SideKiller,サイドキラー,首领
SideKillerTitle1,Make friends and win!,仲間を作って勝利しよう,招募小弟，获得胜利
SideKillerKillCoolTimeSetting,SideKiller Kill Cool Time.,サイドキラーのキルクールタイム,首领击杀冷却时间
